State,prv0_m,prv0_l,prv0_u,adr_m,adr_l,adr_u,p_pub_m,p_pub_l,p_pub_u,p_ppm_m,p_ppm_l,p_ppm_u,r_sym_m,r_sym_l,r_sym_u,r_aware_m,r_aware_l,r_aware_u,r_acf_m,r_acf_l,r_acf_u,r_det_all_m,r_det_all_l,r_det_all_u,r_sc_m,r_sc_l,r_sc_u,txi_pri_m,txi_pri_l,txi_pri_u,ppv_pri_m,ppv_pri_l,ppv_pri_u,dur_pri_m,dur_pri_l,dur_pri_u,p_pri_on_pub_m,p_pri_on_pub_l,p_pri_on_pub_u,ra_m,ra_l,ra_u,rs_m,rs_l,rs_u,rc_m,rc_l,rc_u,r_det_m,r_det_l,r_det_u,a0_m,a0_l,a0_u,c0_m,c0_l,c0_u,pr_a_m,pr_a_l,pr_a_u,pr_s_m,pr_s_l,pr_s_u,pr_c_m,pr_c_l,pr_c_u,prv_a_m,prv_a_l,prv_a_u,prv_s_m,prv_s_l,prv_s_u,prv_c_m,prv_c_l,prv_c_u,prv_t_eu_m,prv_t_eu_l,prv_t_eu_u,prv_t_ei_m,prv_t_ei_l,prv_t_ei_u,prv_t_pri_m,prv_t_pri_l,prv_t_pri_u,det_pub_m,det_pub_l,det_pub_u,det_eng_m,det_eng_l,det_eng_u,det_pri_m,det_pri_l,det_pri_u,scale_dur_m,scale_dur_l,scale_dur_u,r_death_a_m,r_death_a_l,r_death_a_u,r_death_s_m,r_death_s_l,r_death_s_u,ppv_pub_m,ppv_pub_l,ppv_pub_u,ppv_eng_m,ppv_eng_l,ppv_eng_u,sens_acf_m,sens_acf_l,sens_acf_u,spec_acf_m,spec_acf_l,spec_acf_u,dur_pub_m,dur_pub_l,dur_pub_u
India,0.0028327496569839133,0.0028299828414799573,0.0028355698330633805,0.045425145405287276,0.04474709217445472,0.04603292142562776,0.6548134861002697,0.5462547808770958,0.7090322033612773,0.7902150461289104,0.4895919176232324,0.9910594928015415,0.8516427179433007,0.7805508887586666,0.9398872853828644,2.373346638321417,2.2364286597690124,2.6183107404467565,0.00366973789272186,0.003654751157062001,0.0036840075609229687,2.593136144142978,2.4977764809322305,2.8910170721334985,0.20250734650342642,0.10545498911041513,0.296190455836454,0.44019968679239463,0.020535138277316723,0.9651195913741888,0.42434341455188423,0.02294399124505278,0.8267475651121444,1.075638148931699,0.6853118340611228,1.466988065010961,0.4209185798415346,0.0566493948464218,0.6436026870454661,0.20507616302833173,0.1080285789401762,0.29875195847238145,0.3250761630283317,0.22802857894017622,0.4187519584723815,0.3250761630283317,0.22802857894017622,0.4187519584723815,2.946981790158424,2.7079279266101,3.515171601438121,3.1151573072613985,3.106793843140509,3.1229539773386064,0.8261492441340542,0.8233029592964038,0.829091945323454,0.6304317420388325,0.6299442823403921,0.6309152083645773,0.20237584171354428,0.20197249045691718,0.20279599038490373,0.16719241624762324,0.16680470704115707,0.16758413597673927,0.0017858553057410681,0.0017836062437244899,0.0017881531869929446,5.732800899265759e-4,5.720168090937378e-4,5.745852488353538e-4,4.736142613162604e-4,4.7245082212863374e-4,4.748367620589447e-4,3.165326901326955e-4,4.2644393808258295e-5,4.840219049896775e-4,2.1815162433782065e-4,9.086498754103005e-5,4.899555239604962e-4,4.5865880713712946e-5,5.177161821787561e-7,1.769178821154583e-4,0.6548134861002697,0.5462547808770958,0.7090322033612773,0.26639151901976915,0.22219468819080634,0.2884347975103866,0.07879499487996122,0.002601581802251457,0.23164182319553037,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Andhra Pradesh,0.002211973162827419,0.0016191558346037194,0.0028857820194549805,0.06528472527973028,0.06217011425406805,0.06848026230866526,0.6275727761501484,0.3651176038556852,0.7260547071319937,0.6834358244248891,0.21327019937945638,0.9871869832838457,1.3023179737057873,0.8708279691147953,1.9229679520002052,2.943700218231761,1.6140593147329614,5.282947633078397,0.003794416948029041,0.0036278922839735888,0.003954985108821286,3.732255757096931,1.9062620883380716,7.332545313941941,0.19944025483370295,0.1058513672774172,0.2938041125120842,0.3841948232791698,0.00861137512122075,0.9541772728614015,0.42962562577464064,0.026931358410206843,0.8257021480697577,1.1381702287078865,0.5678438010616442,1.4818547822232355,0.3317454142722526,0.010799440808350685,0.9082516761983903,0.20209634669732326,0.10846562174516483,0.2964155601005754,0.3220963466973233,0.22846562174516483,0.41641556010057545,0.3220963466973233,0.22846562174516483,0.41641556010057545,4.349339395594312,2.038072212687567,9.366640300186733,2.564355610226838,1.2586153136809135,4.885620303759739,0.8237337213410593,0.3030116188360842,1.8239746416787492,0.5726181637665592,0.43223984433978685,0.70351974241922,0.24409984005157256,0.135691816360933,0.3707863251095345,0.18328199618186825,0.09016524594067335,0.3010066626464101,0.0012670066329219906,8.37527876678999e-4,0.0017761288395745018,5.401323147276438e-4,2.77064217777353e-4,8.979420635422124e-4,4.0483421517777503e-4,1.8213409574980102e-4,7.021672148265557e-4,2.647011167204724e-4,8.648286477797753e-6,7.256366726016963e-4,2.3707665465768854e-4,3.473739073742605e-5,4.909919775441825e-4,6.08439159606429e-5,6.073613252388447e-7,2.5503267788466987e-4,0.6275727761501484,0.3651176038556852,0.7260547071319937,0.23373907761974946,0.13540148208511124,0.2704000896451759,0.13868814623010212,0.0035130928880879393,0.49948091405920375,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Arunachal Pradesh,0.002321723843765871,0.0016425556097922262,0.0031144811126803873,0.09381605827178964,0.08218894487686401,0.09981503851105997,0.9153154640389206,0.6765143049885313,0.99333454831341494,0.16600288679617542,0.010035170511977443,0.7611418603512473,1.3085568349365542,0.841053875858716,1.9931766928875567,3.9006789911370605,1.8300885606721673,7.944843847598737,0.0029589264570241613,0.0025461830249974126,0.003395038041249529,3.6150215148438183,1.7286621370239335,7.536800703492736,0.19931146710512987,0.10588271533053667,0.2941251659838117,0.5170493366882392,0.037291690305860485,0.9730758103438804,0.4224500843119431,0.018632508761553365,0.8270229605952802,0.7217203470249618,0.0677020885475916,1.4527418024278584,0.5110739917706649,0.02975158225415817,0.9742858405592001,0.20138271562504678,0.10787668403518945,0.2962424311615079,0.3213827156250468,0.22787668403518943,0.4162424311615079,0.3213827156250468,0.22787668403518943,0.4162424311615079,4.088926995998242,1.896383902174684,8.851163274042577,3.3340710472090134,1.3300082092227237,7.33499937773221,1.149859028396682,0.36890589275025976,2.785755275577101,0.5910194968192408,0.4359640344844816,0.7427234973605453,0.20462212904264168,0.09444517704497805,0.3488266904018221,0.2043583741381175,0.09496303197456565,0.3462049166259867,0.0013719428142418913,8.627371360651955e-4,0.0020124497236071364,4.7560118238728065e-4,2.0249696934346675e-4,8.790713980869106e-4,4.7417984713668944e-4,1.9843281618147076e-4,8.558707795909059e-4,7.877241805027067e-6,4.617909309033092e-7,1.636401619195739e-5,1.1076763779141426e-5,2.3787355353214672e-7,6.713499283345678e-5,9.00034205594807e-5,2.0529832118811623e-6,2.9031455061698496e-4,0.9153154640389206,0.6765143049885313,0.99333454831341494,0.004668005755946393,0.0031041313413275222,0.006106510230904079,0.080016530205133,0.0015960023177723295,0.3199615045307976,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Assam,0.002657791670615591,0.0018875167171495757,0.0035127715926779137,0.08046414362209164,0.07598736650054892,0.08498488800560632,0.7534548999718762,0.4954113930783589,0.8449127677644839,0.6312958037102898,0.17758482639841736,0.9808587341505933,0.7955256581932053,0.509153452281464,1.2298251395873745,2.203358251212709,1.0463939798205617,4.449226546675574,6.625029416081411e-4,6.11489964883043e-4,7.149269237043543e-4,1.9794904602614,0.9743835182765498,3.9467767334146453,0.20074183615703797,0.1051425815689625,0.29506606267904645,0.40902425014386073,0.013956876362273047,0.9574787564602945,0.42527124470381716,0.022896506246288355,0.8275462233468621,1.031474336803815,0.3722245635295346,1.4787035256075451,0.43625572646898836,0.017185629336138538,0.9605378446635069,0.20120558821616366,0.10561089517657594,0.29554325144867993,0.3212055882161637,0.22561089517657593,0.41554325144868,0.3212055882161637,0.22561089517657593,0.41554325144868,2.3491843100731966,1.1013339141081346,4.988394008018836,3.246825118755542,1.3463283451693375,6.823664488036925,1.10924831596098,0.3548385559949442,2.6826526397369177,0.5909993370783794,0.4333160198794622,0.7359332487759918,0.2069492715629681,0.10083756223611481,0.3430897709796092,0.20205139135865247,0.09573160412899247,0.33860177666976243,0.0015711649762356818,9.899057083900538e-4,0.0022533474806312654,5.504847833753714e-4,2.44351317247606e-4,9.906321744143243e-4,5.361419110045288e-4,2.4097182015969852e-4,9.455959945557214e-4,1.1336536366067939e-4,4.5045515632306045e-6,2.4963274481011377e-4,7.580912673483026e-5,5.4699931438194395e-6,1.9774663294220857e-4,4.3262891154326595e-5,4.962707480322504e-7,1.8954546391580275e-4,0.7534548999718762,0.4954113930783589,0.8449127677644839,0.13561688530210106,0.08959760971058064,0.15239568497033065,0.11092821472602277,0.0029654067176708987,0.4149813279017967,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Bihar,0.002802328279006582,0.0021751873195731447,0.003511887415654219,4.586915744746708e-5,9.589349140450364e-7,1.6281012526221702e-4,0.37057169798417927,0.14150649583497724,0.5405138734150072,0.524511862132505,0.13472058569483564,0.9620570750847676,0.8406724671062943,0.5291124932386555,1.4223167844897755,1.606595580007804,0.83554880909278,3.1552028138397494,0.0015200021001162192,0.001450641671602531,0.0015844255603242598,3.050509884100712,1.3347522125810884,6.924194325360948,0.2000789298627004,0.10464553209368517,0.29489914795703204,0.5338021743700477,0.03671367152441475,0.9765038956334371,0.4293981223684354,0.02161511736807878,0.8284048073933393,0.31049327191371767,0.06993615769756584,0.9058850748103262,0.47663204934371234,0.027115726045237678,0.9629915545378699,0.20114293133278174,0.10574357454406019,0.29595718115719605,0.3211429313327817,0.2257435745440602,0.4159571811571961,0.3211429313327817,0.2257435745440602,0.4159571811571961,4.094455440362441,1.5434470585334397,11.126355214549916,2.367791768453091,1.3305000887856084,3.9940822877320317,0.527076889452558,0.2082286064471336,1.085487262018826,0.5991183937376768,0.4839563330725568,0.7109274190729746,0.26781668477025067,0.17032382085565329,0.3757755442548977,0.13306492149207252,0.06501057313162231,0.22441192533425855,0.0016789751258319014,0.0012072663711421901,0.0022390696975990907,7.508866291813517e-4,4.424196671322023e-4,0.001142399996883304,3.7246652399332004e-4,1.76712897799141e-4,6.495289181214482e-4,3.9264076522528817e-4,2.232849827517067e-5,7.921196664507201e-4,9.459832137280326e-4,4.831125655407766e-5,0.002227458207595991,8.309545935350241e-4,1.9543351089856046e-5,0.0017656025495679916,0.37057169798417927,0.14150649583497724,0.5405138734150072,0.3031889548603141,0.11565616239061478,0.4420695440711501,0.3262393471555066,0.01743489182888142,0.7428367565515046,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Chandigarh,0.002283790932109115,0.0014870096243721402,0.003321710225042173,0.09789859626018585,0.09277662599026076,0.09993644683098338,0.8275391071870478,0.5721950625279605,0.9142309818021305,0.5519243064795024,0.12098812858420507,0.9721113287932789,1.4168530750978587,0.8522829642753994,2.276746251984455,11.949053347870183,3.212666980499446,37.73222657257244,0.00191143937397788,0.0014999563235707078,0.0023847259763902524,11.739781855232065,3.20637853393126,38.20413788813131,0.19874885618544774,0.1047030134149573,0.2956729461148564,0.4244725847261605,0.0187716530609951,0.9639783379696972,0.42275212538757845,0.017936516232558316,0.8316081530644468,0.8967964178114528,0.22547225856528796,1.4710563492575288,0.5283283047242059,0.03605705971245591,0.9764957531545058,0.20008686374723225,0.10594676618139569,0.29694357737785315,0.3200868637472322,0.22594676618139567,0.41694357737785315,0.3200868637472322,0.22594676618139567,0.41694357737785315,18.62440912294145,4.983730873160317,61.52418754171575,9.142604638019456,2.207448366675452,30.20101815387762,1.508407683396309,0.1582116704995416,5.9390308297401635,0.7518637217048577,0.5675241149681018,0.8982276271248303,0.12412305994423309,0.02848372153824844,0.280633472431225,0.1240132183509092,0.025255544277785518,0.2718592092803035,0.0017171940422991442,0.0010199481824630205,0.002634754525445223,2.8382600795925125e-4,5.841719373725462e-5,6.897816641130227e-4,0.00028277088185071155,5.700680884685112e-5,6.693946185867996e-4,1.066466080270961e-4,7.266419851580785e-6,1.984808335709335e-4,6.622474418123317e-5,2.425044405640645e-6,2.376733604947895e-4,1.350691762692328e-4,2.1165884272272194e-6,4.698143685384188e-4,0.8275391071870478,0.5721950625279605,0.9142309818021305,0.07557558532600223,0.05199502736194727,0.08595595718504824,0.09688530748694997,0.0024311424691462738,0.3772389633607904,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Chhatisgarh,0.002347283921392016,0.0016981790929162317,0.003088678267301419,0.09988494046401816,0.09957982774391505,0.09999699578574314,0.6215902685542822,0.38877231515875094,0.7144252545988627,0.695748875597187,0.2497992628707175,0.9881316614429366,0.57905184738467,0.40862218520851534,0.8256563264905792,4.933090750248499,1.8764799644281236,12.737802821979958,0.0030763770656498713,0.0029083999208677235,0.0032320688803636395,9.473931500276581,2.6190492029908343,31.184262920786498,0.20221652942649596,0.10537484950675098,0.29507433060099014,0.3975228033556584,0.011189762511797659,0.9584820461733973,0.4240543797517037,0.023755725507942187,0.8270676589646645,1.1252128539327286,0.4986633703327817,1.4835137937565657,0.3387547592000586,0.009747976198767874,0.9230598455099814,0.20436999337245088,0.10753794321232199,0.2972564350908181,0.32436999337245087,0.22753794321232199,0.41725643509081817,0.32436999337245087,0.22753794321232199,0.41725643509081817,11.383193609670364,2.9788169957449817,36.822106523461926,9.235650040353184,3.250543861566819,23.84566633676264,0.7409600792358402,0.11058154184340549,2.381339396219128,0.8221869500291262,0.6976512008910231,0.9205079585174232,0.11150501022857971,0.037791878566284104,0.21996538984277103,0.06630803974229407,0.014397196765438321,0.15464718213583215,0.0019297994779902438,0.0013378406482099558,0.002605853853210937,2.619396037576951e-4,8.184372033724853e-5,5.414096969478628e-4,1.5554483964406985e-4,3.245429010106316e-5,3.7411559592723427e-4,1.7916162779987779e-4,5.129409223218344e-6,4.878534701752928e-4,1.5431077409991238e-4,1.942920045026414e-5,3.4738471370027125e-4,4.7947612781538714e-5,5.502342495209715e-7,2.0911797309400553e-4,0.6215902685542822,0.38877231515875094,0.7144252545988627,0.24547406884498865,0.15277554746181124,0.2822097428251291,0.1329356626007291,0.0034071614438138443,0.45835242795363723,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
Delhi,0.004038535272364861,0.0028019263032721168,0.005519421803942282,0.02513067379941577,0.02234357340890197,0.028079619002772515,0.6611971729992696,0.42382396123730387,0.7388420302535353,0.732820190943066,0.2576120558802592,0.9900998616716229,1.3568701267114194,0.8857055262995543,2.073744044645231,4.590896384802584,2.0543878319491276,9.686874676743633,0.001727329949450856,0.001575022782038709,0.0018740830324685365,6.683337076440392,2.5804088754035917,16.417186316446745,0.199829510808651,0.1070172134803276,0.2940039831416589,0.35777686500163725,0.008255961716766654,0.9498514542672116,0.4299560654320265,0.02151252745489646,0.825074844232472,1.1636977641436688,0.599182974454438,1.4871527161288467,0.29158996334181897,0.01115059590218253,0.8782786747944724,0.2010386417732666,0.1082770849151898,0.2952601892790736,0.3210386417732666,0.22827708491518978,0.4152601892790736,0.3210386417732666,0.22827708491518978,0.4152601892790736,10.091106711253884,3.7065767893097568,25.883915391461983,3.7906152473694257,1.5016345921962793,8.476444359376423,0.8200315940347762,0.19835980580953938,2.245826028763756,0.6575055676902397,0.4970218065500348,0.7988386320371103,0.20131551045682883,0.08905534359156958,0.34889591645540596,0.1411789218529314,0.05004358773147993,0.2719045192353057,0.002654762574663829,0.0016887512790414324,0.003853529384588876,8.132699611413682e-4,3.349872381158828e-4,0.0015379416845898934,5.705027365596564e-4,1.876699789068578e-4,0.0011653450540081176,4.0900887591767843e-4,1.560017180418252e-5,0.0012292781294565847,4.4065031081324564e-4,8.374959604720455e-5,8.675563108832243e-4,1.1631835445972917e-4,1.2352512306173574e-6,4.73980109721407e-4,0.6611971729992696,0.42382396123730387,0.7388420302535353,0.23135052127473843,0.14842118090167056,0.25866108880874195,0.10745230572599197,0.0026048001751353893,0.4277448905024177,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.99,0.99,0.99,0.5,0.5,0.5
