Location,p_a2die,p_a2sc,p_a2s,p_s2die,p_s2sc,p_s2e,p_s2tu,p_s2ti,p_c2die,p_c2sc,p_c2tu,p_c2ti,p_tu2txs,p_tu2txl,p_tu2txd,p_ti2txs,p_ti2txl,p_ti2txd
Andhra_Pradesh,0.041014658675124674,0.11007582872078643,0.8489095126040889,0.04125883869101886,0.054650646350017595,0.3622783167489102,0.34507645589018443,0.19673574231986896,0.09215409671510857,0.12207215880381055,0.5057255950043914,0.28004814947668955,0.8930959950176864,0.06006048789224531,0.04684351709006829,0.9253343669606225,0.009609149560128713,0.06505648347924875
Arunachal_Pradesh,0.03208572968216688,0.08494883292395895,0.8829654373938741,0.024580548160044242,0.032039330654566794,0.3694020269197497,0.49109198217098154,0.08288611209465775,0.076000096640086,0.09934010817232629,0.7070977629147835,0.11756203227280422,0.7954869782376026,0.1816803424901891,0.0228326792722083,0.19527373936144762,0.7648261618874801,0.039900098751072276
Assam,0.04555905021882793,0.11954542900818278,0.8348955207729893,0.036167521093061275,0.0475935619907428,0.45674164242778476,0.3854242436002559,0.07407303088815526,0.0815279610255079,0.1079112254900782,0.6753956771280735,0.13516513635634042,0.8259850384231232,0.13450471201342606,0.03951024956345077,0.49204123705789216,0.4410363724995524,0.06692239044255553
Bihar,0.04739116705246153,0.12741537014577123,0.8251934628017672,0.051590301634318075,0.06835852001206522,0.5245782451751013,0.18644359690502138,0.16902933627349398,0.04969421744682427,0.06618136927057797,0.4775007043092048,0.40662370897339295,0.7600728892488358,0.2161895120469731,0.02373759870419109,0.5584644759555845,0.4033313388951503,0.038204185149265206
Chandigarh,0.03981618910704146,0.10719581616523917,0.8529879947277194,0.030717989192089557,0.040854118210665674,0.5011659175912481,0.2495141239759365,0.1777478510300602,0.0690791975661336,0.09210530053904172,0.4938166895967385,0.3449988122980862,0.8078407979693905,0.15667601386160443,0.03548318816900516,0.5989522378319133,0.3440843888588492,0.05696337330923749
Chhattisgarh,0.09291126151056818,0.251039292184002,0.6560494463054298,0.03514097442597539,0.04690238021571168,0.3776672721440546,0.4449979620867057,0.09529141112755263,0.05221917804001037,0.06993312617748108,0.7201472599236427,0.1577004358588658,0.8771402771506963,0.07698051609766265,0.04587920675164099,0.5751229723293314,0.374913048642276,0.04996397902839253
Delhi,0.0664250775867524,0.17982014653287287,0.7537547758803748,0.05365845036088939,0.07130360301776444,0.5259804062873878,0.20364979360290467,0.14540774673105364,0.06799419470978672,0.09078059031443499,0.4942595227136749,0.34696569226210344,0.7511878711453427,0.229155076423488,0.01965705243116934,0.3791260100747989,0.5861167996749779,0.034757190250223224
Gujarat,0.024475487312349505,0.06667403774929258,0.9088504749383579,0.005505887535028,0.007377451159472352,0.48975412522171347,0.34909814945672396,0.14826438662706226,0.017819922443527515,0.023890449965108623,0.6829694753054122,0.2753201522859517,0.8476915012298553,0.09633731636177913,0.05597118240836565,0.7008639165629957,0.2293992061750992,0.06973687726190507
Haryana,0.05084361109496149,0.1345637204638178,0.8145926684412207,0.05624075410544625,0.07458317113832856,0.3910232945123222,0.2865354374833929,0.1916173427605101,0.03007477444965456,0.04001711148910688,0.5549011806638355,0.375006933397403,0.8270945628437958,0.13082345136412638,0.04208198579207783,0.6425539683778496,0.2897120645556848,0.06773396706646566
Himachal_Pradesh,0.03925441607887064,0.10018954136292695,0.8605560425582024,0.008115355427218798,0.010643537214832776,0.5912373037168381,0.22784449923895347,0.1621593044021568,0.06866763371343479,0.09019998175084389,0.49513942257478066,0.34599296196094065,0.8908530033621018,0.06320404838653779,0.04594294825136038,0.7090950371347614,0.21718130125825147,0.07372366160698712
India,0.044852057878957116,0.11915075766141399,0.8359971844596289,0.036369991273504945,0.048710533555954214,0.47355502009741496,0.2918850252835627,0.1494794297895632,0.06629941230891045,0.0892131900702181,0.5596296562376311,0.2848577413832403,0.8244419824351376,0.1340043416861714,0.04155367587869104,0.6155871404809898,0.32585754747086443,0.058555312048145694
Jammu_and_Kashmir,0.03831786537949415,0.10145936296926651,0.8602227716512393,0.008122927573003844,0.010783293068692325,0.6371317922931244,0.20068306692458424,0.14327892014059512,0.06338188095762912,0.08413665898868976,0.5011536092543305,0.3513278507993507,0.8082843993016982,0.16404803470348628,0.02766756599481557,0.42635410702470433,0.52919616349284615,0.04444972948244951
Jharkhand,0.044504618555380716,0.11971873136650037,0.835776650078119,0.040484325286250976,0.0536474725624535,0.3664362421370726,0.35318666535875076,0.1862452946554722,0.027392683450789553,0.03632649379326747,0.6153544870663201,0.3209263356896228,0.8337005963812797,0.14063816166312884,0.02566124195559147,0.48254820217176647,0.4872234788374051,0.03022831899082837
Karnataka,0.03368164523538163,0.09119796381662955,0.8751203909479888,0.05830522742026101,0.07727188988317982,0.37683242469237976,0.3197810016220004,0.16780945638217898,0.09425751140678314,0.12558856826826376,0.5084924066129451,0.271661513712008,0.805265748231667,0.12538386759567716,0.06935038417265599,0.6420972859818468,0.25870980051253983,0.0991929135056134
Kerala,0.030191177818671748,0.08052313894944846,0.8892856832318798,0.0076808003428846085,0.010114516548967159,0.4035806253384954,0.376743903205226,0.20188015456442684,0.04115111353528967,0.05427171229130231,0.5880556575129824,0.3165215166604257,0.8544327404149143,0.08510501472649873,0.06046224485858701,0.7113625609733473,0.2027786187800122,0.08585882024664059
Madhya_Pradesh,0.04678185824341722,0.12544994447449104,0.8277681972820917,0.02344093954635335,0.031196798711157454,0.5876786594789164,0.235012255889988,0.12267134637358476,0.013458887492647209,0.017957929996384306,0.6578509146700813,0.31073226784088714,0.8523623551473671,0.11366401004545658,0.03397363480717633,0.47009652291106124,0.4950454887821469,0.03485798830679193
Maharashtra,0.027452817401465227,0.07295993570988928,0.8995872468886454,0.024826239483462714,0.03316639948808145,0.6163517703491163,0.2132905241314892,0.11236506654785043,0.04025271798951118,0.05384141873441944,0.6058574540080984,0.300048409267971,0.8234556379308536,0.13114939756509345,0.04539496450405288,0.5453570309519906,0.3938155624555554,0.060827406592454
Manipur,0.06081392759892624,0.16795018095911304,0.7712358914419607,0.053741285996841526,0.07213253094906437,0.49211776397019275,0.3086826890464266,0.07332573003747477,0.10677520056835235,0.14400660010443256,0.6041632594559564,0.14505493987125864,0.7474989995998399,0.22302254235027347,0.02947845804988659,0.5148555102141144,0.431988009627494,0.05315648015839165
Meghalaya,0.0420101130805324,0.10998393624021062,0.848005950679257,0.032909279062210854,0.043146396645926975,0.44564362201115354,0.39493970524240973,0.0833609970382989,0.07797595035909048,0.10206927556412214,0.671833166964714,0.14812160711207348,0.7715335419785004,0.18784868689617645,0.04061777112532312,0.41601322344271857,0.5168621294023626,0.06712464715491875
Nagaland,0.03251828072644479,0.0864231404408692,0.881058578832686,0.02464499740251508,0.03267136181008772,0.3900115757039962,0.4699365406734125,0.08273552440998853,0.07115170786405471,0.09450353023456565,0.7053075983331779,0.1290371635682017,0.8251276010993326,0.15280722418531606,0.02206517471535138,0.3397556059919763,0.6248740680736353,0.03537032593438836
Odisha,0.06855844048929084,0.17301882663970766,0.7584227328710015,0.015163495260207506,0.020039115103247764,0.4689202423550255,0.322690593460258,0.1731865538212612,0.06593683704590263,0.08681888374612125,0.5469201984159993,0.3003240807919769,0.7981110452082475,0.15185025082183104,0.05003870396992148,0.5969997857107397,0.32202417265381744,0.08097604163544286
Punjab,0.05250826828334311,0.13952125603242937,0.8079704756842275,0.008204378423310553,0.010903375502235963,0.6318208329358761,0.2773288033693141,0.07174260976926332,0.02612373558787815,0.03475511862249626,0.7521763330078208,0.18694481278180472,0.8319863967773915,0.12166978302608963,0.04634382019651881,0.6214288775152556,0.3063780903314353,0.07219303215330909
Rajasthan,0.03315225335000691,0.08913049932552723,0.8777172473244659,0.028008742643516053,0.03651170141298387,0.42044019557487256,0.3326158615138885,0.18242349885473905,0.15152206249250794,0.19867814293067104,0.42229467127021947,0.22750512330660155,0.8255389266068686,0.13988056890827105,0.03458050448486043,0.5897448669824701,0.36816476204411624,0.042090370973413706
Tamil_Nadu,0.033304108832141244,0.08741308514873594,0.8792828060191228,0.06924142822233063,0.0904241416237261,0.38462187998310055,0.28913730504827634,0.1665752451225664,0.11050203297505912,0.14503444184778053,0.47911597537324446,0.2653475498039159,0.833697764397924,0.11216944827801983,0.05413278732405621,0.7002361541788054,0.22462986063317858,0.07513398518801599
Telangana,0.02742153111034025,0.07361285978613531,0.8989656091035244,0.04559417670781958,0.06089011832638483,0.5443336637603394,0.2206237942905269,0.12855824691492934,0.10173478913282155,0.13599391709921327,0.48963768522112466,0.27263360854684054,0.8729572433568643,0.08841719013887712,0.0386255665042586,0.9022514784807547,0.044181253059307465,0.05356726845993782
Uttar_Pradesh,0.04191487476177827,0.10990289288601805,0.8481822323522037,0.03431370010855252,0.04502324225791056,0.5165391898069384,0.23109599490002186,0.1730278729265767,0.06111867983013491,0.08044975625630661,0.4988106580913917,0.3596209058221668,0.8013161859854998,0.16251395954833112,0.03616985446616909,0.6015376932765601,0.3453733456489668,0.05308896107447315
Uttarakhand,0.038382273675516554,0.10126376187731809,0.8603539644471654,0.008129411659520752,0.010766508359343627,0.6126298945538241,0.21536290379313705,0.15311128163417442,0.0661260656805025,0.08752919001945322,0.49826883282316076,0.3480759114768835,0.8277466393967308,0.1335654400399682,0.03868792056330106,0.8422377282541151,0.09567699556709902,0.06208527617878587
West_Bengal,0.04686124706222368,0.1247386687574985,0.8284000841802778,0.021864848474923163,0.02882298051245777,0.46360645037578724,0.3027044857001754,0.18300123493665646,0.03645474919207442,0.04830479966392414,0.5661791915923106,0.34906125955169087,0.843753316413937,0.10544301225898207,0.05080367132708096,0.560650587267525,0.3581482205550149,0.08120119217746007
